#DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Lucky Star 1,Lucky Star 2
14-Aug-18,1,15,18,25,31,9,11
10-Aug-18,18,20,36,43,44,3,9
07-Aug-18,16,28,29,30,36,8,10
03-Aug-18,7,26,36,38,43,6,12
31-Jul-18,20,25,34,42,45,6,11
27-Jul-18,11,17,22,23,41,6,11
24-Jul-18,2,4,23,39,40,3,9
20-Jul-18,2,15,40,43,46,3,6
17-Jul-18,4,6,27,48,50,1,11
13-Jul-18,1,4,14,21,49,2,12
10-Jul-18,3,8,26,33,45,7,10
06-Jul-18,8,30,33,38,48,2,10
03-Jul-18,1,12,15,29,48,3,5
29-Jun-18,15,21,23,40,48,3,12
26-Jun-18,15,16,20,34,50,4,7
22-Jun-18,14,25,39,41,44,2,8
19-Jun-18,7,19,26,42,50,4,9
15-Jun-18,23,26,33,38,49,1,12
12-Jun-18,7,21,23,36,38,6,8
08-Jun-18,8,19,32,43,46,2,8
05-Jun-18,9,15,22,39,46,4,5
01-Jun-18,17,18,24,29,40,4,5
29-May-18,6,11,20,38,43,2,4
25-May-18,13,15,16,28,41,4,5
22-May-18,1,11,37,41,48,8,12
18-May-18,5,8,10,13,31,3,6
15-May-18,4,16,20,31,39,2,12
11-May-18,3,22,34,49,50,8,11
08-May-18,17,25,35,39,44,2,5
04-May-18,6,12,23,39,45,9,12
01-May-18,6,15,17,42,48,4,6
27-Apr-18,12,24,40,41,46,5,12
24-Apr-18,20,23,28,30,44,3,7
20-Apr-18,3,16,25,39,44,7,11
17-Apr-18,15,27,33,39,50,4,6
13-Apr-18,5,25,34,48,50,6,7
10-Apr-18,14,27,39,46,48,11,12
06-Apr-18,1,29,33,45,47,4,8
03-Apr-18,3,8,16,40,43,5,8
30-Mar-18,12,17,28,35,47,7,11
27-Mar-18,17,20,23,40,46,9,10
23-Mar-18,5,7,11,46,50,8,11
20-Mar-18,26,29,37,39,44,9,11
16-Mar-18,4,17,24,27,31,10,11
13-Mar-18,9,11,13,33,49,6,12
09-Mar-18,9,14,21,32,44,1,12
06-Mar-18,15,20,26,31,44,2,9
02-Mar-18,2,7,34,45,48,1,12
27-Feb-18,3,31,41,48,50,8,11
23-Feb-18,10,17,18,28,47,3,7
20-Feb-18,6,14,19,25,29,5,11
